"Name","Source","Page","Rarity","Type","Attunement","Damage","Properties","Mastery","Weight","Value","Text"
"+1 Firearm Bullet","DMG'24","228","uncommon","Ammunition (Firearm Bullet)","","","","","⅕ lb.","","You have a +1 bonus to attack and damage rolls made with this piece of magic ammunition. Once it hits a target, the ammunition is no longer magical.Firearm Bullets are destroyed upon use in a modern firearm."
"+1 Flail","DMG'24","324","uncommon","Weapon (Flail), Martial Weapon, Melee Weapon","","1d8 Bludgeoning","","Mastery: Sap","2 lb.","","You have a +1 bonus to attack and damage rolls made with this magic weapon. Mastery: Sap. If you hit a creature with this weapon, that creature has Disadvantage on its next attack roll before the start of your next turn."
"+1 Glaive","DMG'24","324","uncommon","Weapon (Glaive), Martial Weapon, Melee Weapon","","1d10 Slashing","Heavy, Reach, Two‑Handed","Mastery: Graze","6 lb.","","You have a +1 bonus to attack and damage rolls made with this magic weapon. Heavy. You have Disadvantage on attack rolls with a Heavy weapon if it's a Melee weapon and your Strength score isn't at least 13 or if it's a Ranged weapon and your Dexterity score isn't at least 13. Reach. A Reach weapon adds 5 feet to your reach when you attack with it, as well as when determining your reach for Opportunity Attacks with it. Two-Handed. A Two-Handed weapon requires two hands when you attack with it. Mastery: Graze. If your attack roll with this weapon misses a creature, you can deal damage to that creature equal to the ability modifier you used to make the attack roll. This damage is the same type dealt by the weapon, and the damage can be increased only by increasing the ability modifier."
"+1 Greataxe","DMG'24","324","uncommon","Weapon (Greataxe), Martial Weapon, Melee Weapon","","1d12 Slashing","Heavy, Two‑Handed","Mastery: Cleave","7 lb.","","You have a +1 bonus to attack and damage rolls made with this magic weapon. Heavy. You have Disadvantage on attack rolls with a Heavy weapon if it's a Melee weapon and your Strength score isn't at least 13 or if it's a Ranged weapon and your Dexterity score isn't at least 13. Two-Handed. A Two-Handed weapon requires two hands when you attack with it. Mastery: Cleave. If you hit a creature with a melee attack roll using this weapon, you can make a melee attack roll with the weapon against a second creature within 5 feet of the first that is also within your reach. On a hit, the second creature takes the weapon's damage, but don't add your ability modifier to that damage unless that modifier is negative. You can make this extra attack only once per turn."
"+1 Greatclub","DMG'24","324","uncommon","Weapon (Greatclub), Simple Weapon, Melee Weapon","","1d8 Bludgeoning","Two‑Handed","Mastery: Push","10 lb.","","You have a +1 bonus to attack and damage rolls made with this magic weapon. Two-Handed. A Two-Handed weapon requires two hands when you attack with it. Mastery: Push. If you hit a creature with this weapon, you can push the creature up to 10 feet straight away from yourself if it is Large or smaller."
"+1 Greatsword","DMG'24","324","uncommon","Weapon (Greatsword), Martial Weapon, Melee Weapon","","2d6 Slashing","Heavy, Two‑Handed","Mastery: Graze","6 lb.","","You have a +1 bonus to attack and damage rolls made with this magic weapon. Heavy. You have Disadvantage on attack rolls with a Heavy weapon if it's a Melee weapon and your Strength score isn't at least 13 or if it's a Ranged weapon and your Dexterity score isn't at least 13. Two-Handed. A Two-Handed weapon requires two hands when you attack with it. Mastery: Graze. If your attack roll with this weapon misses a creature, you can deal damage to that creature equal to the ability modifier you used to make the attack roll. This damage is the same type dealt by the weapon, and the damage can be increased only by increasing the ability modifier."
"+1 Halberd","DMG'24","324","uncommon","Weapon (Halberd), Martial Weapon, Melee Weapon","","1d10 Slashing","Heavy, Reach, Two‑Handed","Mastery: Cleave","6 lb.","","You have a +1 bonus to attack and damage rolls made with this magic weapon. Heavy. You have Disadvantage on attack rolls with a Heavy weapon if it's a Melee weapon and your Strength score isn't at least 13 or if it's a Ranged weapon and your Dexterity score isn't at least 13. Reach. A Reach weapon adds 5 feet to your reach when you attack with it, as well as when determining your reach for Opportunity Attacks with it. Two-Handed. A Two-Handed weapon requires two hands when you attack with it. Mastery: Cleave. If you hit a creature with a melee attack roll using this weapon, you can make a melee attack roll with the weapon against a second creature within 5 feet of the first that is also within your reach. On a hit, the second creature takes the weapon's damage, but don't add your ability modifier to that damage unless that modifier is negative. You can make this extra attack only once per turn."
"+1 Half Plate Armor","DMG'24","230","rare","Medium Armor (Half Plate Armor)","","AC 15 + Dex (max 2)","","","40 lb.","","You have a +1 bonus to AC while wearing this armor.The wearer has Disadvantage on Dexterity (Stealth) checks."
"+1 Hand Crossbow","DMG'24","324","uncommon","Weapon (Hand Crossbow), Martial Weapon, Ranged Weapon","","1d6 Piercing","Ammunition (Range 30/120 ft.; Bolt), Light, Loading","Mastery: Vex","3 lb.","","You have a +1 bonus to attack and damage rolls made with this magic weapon. Range. A Range weapon has a range in parentheses after the Ammunition or Thrown property. The range lists two numbers. The first is the weapon's normal range in feet, and the second is the weapon's long range. When attacking a target beyond normal range, you have Disadvantage on the attack roll. You can't attack a target beyond the long range. Ammunition. You can use a weapon that has the Ammunition property to make a ranged attack only if you have ammunition to fire from it. The type of ammunition required is specified with the weapon's range. Each attack expends one piece of ammunition. Drawing the ammunition is part of the attack (you need a free hand to load a one-handed weapon). After a fight, you can spend 1 minute to recover half the ammunition (round down) you used in the fight; the rest is lost. Light. When you take the Attack action on your turn and attack with a Light weapon, you can make one extra attack as a Bonus Action later on the same turn. That extra attack must be made with a different Light weapon, and you don't add your ability modifier to the extra attack's damage unless that modifier is negative. For example, you can attack with a Shortsword in one hand and a Dagger in the other using the Attack action and a Bonus Action, but you don't add your Strength or Dexterity modifier to the damage roll of the Bonus Action unless that modifier is negative. Loading. You can fire only one piece of ammunition from a Loading weapon when you use an action, a Bonus Action, or a Reaction to fire it, regardless of the number of attacks you can normally make. Mastery: Vex. If you hit a creature with this weapon and deal damage to the creature, you have Advantage on your next attack roll against that creature before the end of your next turn."
"+1 Handaxe","DMG'24","324","uncommon","Weapon (Handaxe), Simple Weapon, Melee Weapon","","1d6 Slashing","Light, Thrown (20/60 ft.)","Mastery: Vex","2 lb.","","You have a +1 bonus to attack and damage rolls made with this magic weapon. Light. When you take the Attack action on your turn and attack with a Light weapon, you can make one extra attack as a Bonus Action later on the same turn. That extra attack must be made with a different Light weapon, and you don't add your ability modifier to the extra attack's damage unless that modifier is negative. For example, you can attack with a Shortsword in one hand and a Dagger in the other using the Attack action and a Bonus Action, but you don't add your Strength or Dexterity modifier to the damage roll of the Bonus Action unless that modifier is negative. Thrown. If a weapon has the Thrown property, you can throw the weapon to make a ranged attack, and you can draw that weapon as part of the attack. If the weapon is a Melee weapon, use the same ability modifier for the attack and damage rolls that you use for a melee attack with that weapon. Mastery: Vex. If you hit a creature with this weapon and deal damage to the creature, you have Advantage on your next attack roll against that creature before the end of your next turn."
"+1 Heavy Crossbow","DMG'24","324","uncommon","Weapon (Heavy Crossbow), Martial Weapon, Ranged Weapon","","1d10 Piercing","Ammunition (Range 100/400 ft.; Bolt), Heavy, Loading, Two‑Handed","Mastery: Push","18 lb.","","You have a +1 bonus to attack and damage rolls made with this magic weapon. Range. A Range weapon has a range in parentheses after the Ammunition or Thrown property. The range lists two numbers. The first is the weapon's normal range in feet, and the second is the weapon's long range. When attacking a target beyond normal range, you have Disadvantage on the attack roll. You can't attack a target beyond the long range. Ammunition. You can use a weapon that has the Ammunition property to make a ranged attack only if you have ammunition to fire from it. The type of ammunition required is specified with the weapon's range. Each attack expends one piece of ammunition. Drawing the ammunition is part of the attack (you need a free hand to load a one-handed weapon). After a fight, you can spend 1 minute to recover half the ammunition (round down) you used in the fight; the rest is lost. Heavy. You have Disadvantage on attack rolls with a Heavy weapon if it's a Melee weapon and your Strength score isn't at least 13 or if it's a Ranged weapon and your Dexterity score isn't at least 13. Loading. You can fire only one piece of ammunition from a Loading weapon when you use an action, a Bonus Action, or a Reaction to fire it, regardless of the number of attacks you can normally make. Two-Handed. A Two-Handed weapon requires two hands when you attack with it. Mastery: Push. If you hit a creature with this weapon, you can push the creature up to 10 feet straight away from yourself if it is Large or smaller."
"+1 Hide Armor","DMG'24","230","rare","Medium Armor (Hide Armor)","","AC 12 + Dex (max 2)","","","12 lb.","","You have a +1 bonus to AC while wearing this armor."
"+1 Javelin","DMG'24","324","uncommon","Weapon (Javelin), Simple Weapon, Melee Weapon","","1d6 Piercing","Thrown (30/120 ft.)","Mastery: Slow","2 lb.","","You have a +1 bonus to attack and damage rolls made with this magic weapon. Thrown. If a weapon has the Thrown property, you can throw the weapon to make a ranged attack, and you can draw that weapon as part of the attack. If the weapon is a Melee weapon, use the same ability modifier for the attack and damage rolls that you use for a melee attack with that weapon. Mastery: Slow. If you hit a creature with this weapon and deal damage to it, you can reduce its Speed by 10 feet until the start of your next turn. If the creature is hit more than once by weapons that have this property, the Speed reduction doesn't exceed 10 feet."
"+1 Lance","DMG'24","324","uncommon","Weapon (Lance), Martial Weapon, Melee Weapon","","1d10 Piercing","Heavy, Reach, Two‑Handed (unless mounted)","Mastery: Topple","6 lb.","","You have a +1 bonus to attack and damage rolls made with this magic weapon.A Lance requires two hands to wield when you aren't mounted. Heavy. You have Disadvantage on attack rolls with a Heavy weapon if it's a Melee weapon and your Strength score isn't at least 13 or if it's a Ranged weapon and your Dexterity score isn't at least 13. Reach. A Reach weapon adds 5 feet to your reach when you attack with it, as well as when determining your reach for Opportunity Attacks with it. Two-Handed. A Two-Handed weapon requires two hands when you attack with it. Mastery: Topple. If you hit a creature with this weapon, you can force the creature to make a Constitution saving throw (DC 8 plus the ability modifier used to make the attack roll and your Proficiency Bonus). On a failed save, the creature has the Prone condition."
"+1 Leather Armor","DMG'24","230","rare","Light Armor (Leather Armor)","","AC 11 + Dex","","","10 lb.","","You have a +1 bonus to AC while wearing this armor."
"+1 Light Crossbow","DMG'24","324","uncommon","Weapon (Light Crossbow), Simple Weapon, Ranged Weapon","","1d8 Piercing","Ammunition (Range 80/320 ft.; Bolt), Loading, Two‑Handed","Mastery: Slow","5 lb.","","You have a +1 bonus to attack and damage rolls made with this magic weapon. Range. A Range weapon has a range in parentheses after the Ammunition or Thrown property. The range lists two numbers. The first is the weapon's normal range in feet, and the second is the weapon's long range. When attacking a target beyond normal range, you have Disadvantage on the attack roll. You can't attack a target beyond the long range. Ammunition. You can use a weapon that has the Ammunition property to make a ranged attack only if you have ammunition to fire from it. The type of ammunition required is specified with the weapon's range. Each attack expends one piece of ammunition. Drawing the ammunition is part of the attack (you need a free hand to load a one-handed weapon). After a fight, you can spend 1 minute to recover half the ammunition (round down) you used in the fight; the rest is lost. Loading. You can fire only one piece of ammunition from a Loading weapon when you use an action, a Bonus Action, or a Reaction to fire it, regardless of the number of attacks you can normally make. Two-Handed. A Two-Handed weapon requires two hands when you attack with it. Mastery: Slow. If you hit a creature with this weapon and deal damage to it, you can reduce its Speed by 10 feet until the start of your next turn. If the creature is hit more than once by weapons that have this property, the Speed reduction doesn't exceed 10 feet."
"+1 Light Hammer","DMG'24","324","uncommon","Weapon (Light Hammer), Simple Weapon, Melee Weapon","","1d4 Bludgeoning","Light, Thrown (20/60 ft.)","Mastery: Nick","2 lb.","","You have a +1 bonus to attack and damage rolls made with this magic weapon. Light. When you take the Attack action on your turn and attack with a Light weapon, you can make one extra attack as a Bonus Action later on the same turn. That extra attack must be made with a different Light weapon, and you don't add your ability modifier to the extra attack's damage unless that modifier is negative. For example, you can attack with a Shortsword in one hand and a Dagger in the other using the Attack action and a Bonus Action, but you don't add your Strength or Dexterity modifier to the damage roll of the Bonus Action unless that modifier is negative. Thrown. If a weapon has the Thrown property, you can throw the weapon to make a ranged attack, and you can draw that weapon as part of the attack. If the weapon is a Melee weapon, use the same ability modifier for the attack and damage rolls that you use for a melee attack with that weapon. Mastery: Nick. When you make the extra attack of the Light property, you can make it as part of the Attack action instead of as a Bonus Action. You can make this extra attack only once per turn."
"+1 Longbow","DMG'24","324","uncommon","Weapon (Longbow), Martial Weapon, Ranged Weapon","","1d8 Piercing","Ammunition (Range 150/600 ft.; Arrow), Heavy, Two‑Handed","Mastery: Slow","2 lb.","","You have a +1 bonus to attack and damage rolls made with this magic weapon. Range. A Range weapon has a range in parentheses after the Ammunition or Thrown property. The range lists two numbers. The first is the weapon's normal range in feet, and the second is the weapon's long range. When attacking a target beyond normal range, you have Disadvantage on the attack roll. You can't attack a target beyond the long range. Ammunition. You can use a weapon that has the Ammunition property to make a ranged attack only if you have ammunition to fire from it. The type of ammunition required is specified with the weapon's range. Each attack expends one piece of ammunition. Drawing the ammunition is part of the attack (you need a free hand to load a one-handed weapon). After a fight, you can spend 1 minute to recover half the ammunition (round down) you used in the fight; the rest is lost. Heavy. You have Disadvantage on attack rolls with a Heavy weapon if it's a Melee weapon and your Strength score isn't at least 13 or if it's a Ranged weapon and your Dexterity score isn't at least 13. Two-Handed. A Two-Handed weapon requires two hands when you attack with it. Mastery: Slow. If you hit a creature with this weapon and deal damage to it, you can reduce its Speed by 10 feet until the start of your next turn. If the creature is hit more than once by weapons that have this property, the Speed reduction doesn't exceed 10 feet."
"+1 Longsword","DMG'24","324","uncommon","Weapon (Longsword), Martial Weapon, Melee Weapon","","1d8 Slashing","Versatile (1d10)","Mastery: Sap","3 lb.","","You have a +1 bonus to attack and damage rolls made with this magic weapon. Versatile. A Versatile weapon can be used with one or two hands. A damage value in parentheses appears with the property. The weapon deals that damage when used with two hands to make a melee attack. Mastery: Sap. If you hit a creature with this weapon, that creature has Disadvantage on its next attack roll before the start of your next turn."
"+1 Mace","DMG'24","324","uncommon","Weapon (Mace), Simple Weapon, Melee Weapon","","1d6 Bludgeoning","","Mastery: Sap","4 lb.","","You have a +1 bonus to attack and damage rolls made with this magic weapon. Mastery: Sap. If you hit a creature with this weapon, that creature has Disadvantage on its next attack roll before the start of your next turn."
"+1 Maul","DMG'24","324","uncommon","Weapon (Maul), Martial Weapon, Melee Weapon","","2d6 Bludgeoning","Heavy, Two‑Handed","Mastery: Topple","10 lb.","","You have a +1 bonus to attack and damage rolls made with this magic weapon. Heavy. You have Disadvantage on attack rolls with a Heavy weapon if it's a Melee weapon and your Strength score isn't at least 13 or if it's a Ranged weapon and your Dexterity score isn't at least 13. Two-Handed. A Two-Handed weapon requires two hands when you attack with it. Mastery: Topple. If you hit a creature with this weapon, you can force the creature to make a Constitution saving throw (DC 8 plus the ability modifier used to make the attack roll and your Proficiency Bonus). On a failed save, the creature has the Prone condition."
"+1 Morningstar","DMG'24","324","uncommon","Weapon (Morningstar), Martial Weapon, Melee Weapon","","1d8 Piercing","","Mastery: Sap","4 lb.","","You have a +1 bonus to attack and damage rolls made with this magic weapon. Mastery: Sap. If you hit a creature with this weapon, that creature has Disadvantage on its next attack roll before the start of your next turn."
"+1 Musket","DMG'24","324","uncommon","Weapon (Musket), Martial Weapon, Ranged Weapon, Firearm","","1d12 Piercing","Ammunition (Range 40/120 ft.; Firearm Bullet), Loading, Two‑Handed","Mastery: Slow","10 lb.","","You have a +1 bonus to attack and damage rolls made with this magic weapon. Range. A Range weapon has a range in parentheses after the Ammunition or Thrown property. The range lists two numbers. The first is the weapon's normal range in feet, and the second is the weapon's long range. When attacking a target beyond normal range, you have Disadvantage on the attack roll. You can't attack a target beyond the long range. Ammunition. You can use a weapon that has the Ammunition property to make a ranged attack only if you have ammunition to fire from it. The type of ammunition required is specified with the weapon's range. Each attack expends one piece of ammunition. Drawing the ammunition is part of the attack (you need a free hand to load a one-handed weapon). After a fight, you can spend 1 minute to recover half the ammunition (round down) you used in the fight; the rest is lost. Loading. You can fire only one piece of ammunition from a Loading weapon when you use an action, a Bonus Action, or a Reaction to fire it, regardless of the number of attacks you can normally make. Two-Handed. A Two-Handed weapon requires two hands when you attack with it. Mastery: Slow. If you hit a creature with this weapon and deal damage to it, you can reduce its Speed by 10 feet until the start of your next turn. If the creature is hit more than once by weapons that have this property, the Speed reduction doesn't exceed 10 feet."
"+1 Needle","DMG'24","228","uncommon","Ammunition (Needle)","","","","","0.32 oz.","","You have a +1 bonus to attack and damage rolls made with this piece of magic ammunition. Once it hits a target, the ammunition is no longer magical.Blowgun needles are used with a weapon that has the ammunition property to make a ranged attack. Each time you attack with the weapon, you expend one piece of ammunition. Drawing the ammunition from a quiver, case, or other container is part of the attack (you need a free hand to load a one-handed weapon). At the end of the battle, you can recover half your expended ammunition by taking a minute to search the battlefield.Needles are typically stored in a Pouch (bought separately)."
"+1 Padded Armor","DMG'24","230","rare","Light Armor (Padded Armor)","","AC 11 + Dex","","","8 lb.","","You have a +1 bonus to AC while wearing this armor.The wearer has Disadvantage on Dexterity (Stealth) checks."
"+1 Pike","DMG'24","324","uncommon","Weapon (Pike), Martial Weapon, Melee Weapon","","1d10 Piercing","Heavy, Reach, Two‑Handed","Mastery: Push","18 lb.","","You have a +1 bonus to attack and damage rolls made with this magic weapon. Heavy. You have Disadvantage on attack rolls with a Heavy weapon if it's a Melee weapon and your Strength score isn't at least 13 or if it's a Ranged weapon and your Dexterity score isn't at least 13. Reach. A Reach weapon adds 5 feet to your reach when you attack with it, as well as when determining your reach for Opportunity Attacks with it. Two-Handed. A Two-Handed weapon requires two hands when you attack with it. Mastery: Push. If you hit a creature with this weapon, you can push the creature up to 10 feet straight away from yourself if it is Large or smaller."
"+1 Pistol","DMG'24","324","uncommon","Weapon (Pistol), Martial Weapon, Ranged Weapon, Firearm","","1d10 Piercing","Ammunition (Range 30/90 ft.; Firearm Bullet), Loading","Mastery: Vex","3 lb.","","You have a +1 bonus to attack and damage rolls made with this magic weapon. Range. A Range weapon has a range in parentheses after the Ammunition or Thrown property. The range lists two numbers. The first is the weapon's normal range in feet, and the second is the weapon's long range. When attacking a target beyond normal range, you have Disadvantage on the attack roll. You can't attack a target beyond the long range. Ammunition. You can use a weapon that has the Ammunition property to make a ranged attack only if you have ammunition to fire from it. The type of ammunition required is specified with the weapon's range. Each attack expends one piece of ammunition. Drawing the ammunition is part of the attack (you need a free hand to load a one-handed weapon). After a fight, you can spend 1 minute to recover half the ammunition (round down) you used in the fight; the rest is lost. Loading. You can fire only one piece of ammunition from a Loading weapon when you use an action, a Bonus Action, or a Reaction to fire it, regardless of the number of attacks you can normally make. Mastery: Vex. If you hit a creature with this weapon and deal damage to the creature, you have Advantage on your next attack roll against that creature before the end of your next turn."
"+1 Plate Armor","DMG'24","230","rare","Heavy Armor (Plate Armor)","","AC 18","","","65 lb.","","You have a +1 bonus to AC while wearing this armor.The wearer has Disadvantage on Dexterity (Stealth) checks.If the wearer has a Strength score lower than 15, their speed is reduced by 10 feet."
"+1 Quarterstaff","DMG'24","324","uncommon","Weapon (Quarterstaff), Simple Weapon, Melee Weapon","","1d6 Bludgeoning","Versatile (1d8)","Mastery: Topple","4 lb.","","You have a +1 bonus to attack and damage rolls made with this magic weapon. Versatile. A Versatile weapon can be used with one or two hands. A damage value in parentheses appears with the property. The weapon deals that damage when used with two hands to make a melee attack. Mastery: Topple. If you hit a creature with this weapon, you can force the creature to make a Constitution saving throw (DC 8 plus the ability modifier used to make the attack roll and your Proficiency Bonus). On a failed save, the creature has the Prone condition."
"+1 Rapier","DMG'24","324","uncommon","Weapon (Rapier), Martial Weapon, Melee Weapon","","1d8 Piercing","Finesse","Mastery: Vex","2 lb.","","You have a +1 bonus to attack and damage rolls made with this magic weapon. Finesse. When making an attack with a Finesse weapon, use your choice of your Strength or Dexterity modifier for the attack and damage rolls. You must use the same modifier for both rolls. Mastery: Vex. If you hit a creature with this weapon and deal damage to the creature, you have Advantage on your next attack roll against that creature before the end of your next turn."
"+1 Ring Mail","DMG'24","230","rare","Heavy Armor (Ring Mail)","","AC 14","","","40 lb.","","You have a +1 bonus to AC while wearing this armor.The wearer has Disadvantage on Dexterity (Stealth) checks."
"+1 Scale Mail","DMG'24","230","rare","Medium Armor (Scale Mail)","","AC 14 + Dex (max 2)","","","45 lb.","","You have a +1 bonus to AC while wearing this armor.The wearer has Disadvantage on Dexterity (Stealth) checks."
"+1 Scimitar","DMG'24","324","uncommon","Weapon (Scimitar), Martial Weapon, Melee Weapon","","1d6 Slashing","Finesse, Light","Mastery: Nick","3 lb.","","You have a +1 bonus to attack and damage rolls made with this magic weapon. Finesse. When making an attack with a Finesse weapon, use your choice of your Strength or Dexterity modifier for the attack and damage rolls. You must use the same modifier for both rolls. Light. When you take the Attack action on your turn and attack with a Light weapon, you can make one extra attack as a Bonus Action later on the same turn. That extra attack must be made with a different Light weapon, and you don't add your ability modifier to the extra attack's damage unless that modifier is negative. For example, you can attack with a Shortsword in one hand and a Dagger in the other using the Attack action and a Bonus Action, but you don't add your Strength or Dexterity modifier to the damage roll of the Bonus Action unless that modifier is negative. Mastery: Nick. When you make the extra attack of the Light property, you can make it as part of the Attack action instead of as a Bonus Action. You can make this extra attack only once per turn."
"+1 Shield","DMG'24","303","uncommon","Shield (Shield)","","AC +2","","","6 lb.","","While holding this Shield, you have a +1 bonus to Armor Class, in addition to the Shield's normal bonus to AC."
"+1 Shortbow","DMG'24","324","uncommon","Weapon (Shortbow), Simple Weapon, Ranged Weapon","","1d6 Piercing","Ammunition (Range 80/320 ft.; Arrow), Two‑Handed","Mastery: Vex","2 lb.","","You have a +1 bonus to attack and damage rolls made with this magic weapon. Range. A Range weapon has a range in parentheses after the Ammunition or Thrown property. The range lists two numbers. The first is the weapon's normal range in feet, and the second is the weapon's long range. When attacking a target beyond normal range, you have Disadvantage on the attack roll. You can't attack a target beyond the long range. Ammunition. You can use a weapon that has the Ammunition property to make a ranged attack only if you have ammunition to fire from it. The type of ammunition required is specified with the weapon's range. Each attack expends one piece of ammunition. Drawing the ammunition is part of the attack (you need a free hand to load a one-handed weapon). After a fight, you can spend 1 minute to recover half the ammunition (round down) you used in the fight; the rest is lost. Two-Handed. A Two-Handed weapon requires two hands when you attack with it. Mastery: Vex. If you hit a creature with this weapon and deal damage to the creature, you have Advantage on your next attack roll against that creature before the end of your next turn."
