"Name","Source","Page","Size","Type","Alignment","AC","HP","Speed","Strength","Dexterity","Constitution","Intelligence","Wisdom","Charisma","Saving Throws","Skills","Damage Vulnerabilities","Damage Resistances","Damage Immunities","Condition Immunities","Senses","Languages","CR","Traits","Actions","Bonus Actions","Reactions","Legendary Actions","Mythic Actions","Lair Actions","Regional Effects","Environment","Treasure"
"Bullywug Bog Sage","MM'25","64","Medium","Fey","neutral","16","52 (8d8 + 16)","30 ft., Swim 30 ft.","8","16","14","10","16","12","Con +4, Wis +5, Cha +3","Nature +4, Stealth +5","","","","","passive Perception 13","Bullywug, Common","4 (XP 1,100; PB +2)","Amphibious. The bullywug can breathe air and water.
Speak with Frogs and Toads. The bullywug can communicate simple concepts to frogs and toads when it speaks in Bullywug.","Multiattack. The bullywug makes two Bog Staff attacks. It can replace any attack with a use of Spellcasting to cast Ray of Sickness.
Bog Staff. Melee Attack Roll: +5, reach 5 ft. Hit: 7 (1d8 + 3) Bludgeoning damage plus 10 (3d6) Poison damage.
Spellcasting. The bullywug casts one of the following spells, using Wisdom as the spellcasting ability (spell save DC 13, +5 to hit with spell attacks):At will: Dancing Lights, Druidcraft, Ray of Sickness1/day each: Speak with Plants, Vitriolic Sphere","Leap. The bullywug can jump up to 30 feet by spending 10 feet of movement.","","","","","","Swamp","Individual, Implements"
"Bullywug Warrior","MM'25","64","Medium","Fey","neutral","15","11 (2d8 + 2)","30 ft., Swim 30 ft.","12","14","13","7","10","7","","Stealth +4","","","","","passive Perception 10","Bullywug, Common","1/4 (XP 50; PB +2)","Amphibious. The bullywug can breathe air and water.
Speak with Frogs and Toads. The bullywug can communicate simple concepts to frogs and toads when it speaks in Bullywug.","Insectile Rapier. Melee Attack Roll: +4, reach 5 ft. Hit: 6 (1d8 + 2) Piercing damage plus 2 (1d4) Poison damage.","Leap. The bullywug can jump up to 30 feet by spending 10 feet of movement.","","","","","","Swamp","Individual, Implements"
"Camel","MM'25","351","Large","Beast","unaligned","10","17 (2d10 + 6)","50 ft.","15","8","17","2","11","5","Con +5","","","","","","Darkvision 60 ft., passive Perception 10","—","1/8 (XP 25; PB +2)","","Bite. Melee Attack Roll: +4, reach 5 ft. Hit: 4 (1d4 + 2) Bludgeoning damage.","","","","","","","Desert",""
"Carrion Crawler","MM'25","66","Large","Monstrosity","unaligned","13","51 (6d10 + 18)","30 ft., Climb 30 ft.","14","13","16","1","12","5","","Perception +5","","","","","Darkvision 60 ft., passive Perception 15","—","2 (XP 450; PB +2)","Spider Climb. The carrion crawler can climb difficult surfaces, including along ceilings, without needing to make an ability check.","Multiattack. The carrion crawler uses Paralyzing Tentacles and makes one Bite attack.
Bite. Melee Attack Roll: +4, reach 5 ft. Hit: 7 (2d4 + 2) Piercing damage plus 3 (1d6) Poison damage.
Paralyzing Tentacles. Constitution Saving Throw: DC 12, one creature the carrion crawler can see within 10 feet. Failure: The target has the Poisoned condition and repeats the save at the end of each of its turns, ending the effect on itself on a success. After 1 minute, it succeeds automatically. While Poisoned, the target has the Paralyzed condition.","","","","","","","Underdark, Urban",""
"Cat","MM'25","351","Tiny","Beast","unaligned","12","2 (1d4)","40 ft., Climb 40 ft.","3","15","10","3","12","7","Dex +4","Perception +3, Stealth +4","","","","","Darkvision 60 ft., passive Perception 13","—","0 (XP 10; PB +2)","Jumper. The cat's jump distance is determined using its Dexterity rather than its Strength.","Scratch. Melee Attack Roll: +4, reach 5 ft. Hit: 1 Slashing damage.","","","","","","","Desert, Forest, Grassland, Urban",""
"Centaur Trooper","MM'25","67","Large","Fey","neutral good","16","45 (6d10 + 12)","50 ft.","18","14","14","9","13","11","","Athletics +6, Perception +3","","","","","passive Perception 13","Elvish, Sylvan","2 (XP 450; PB +2)","","Multiattack. The centaur makes two attacks, using Pike or Longbow in any combination.
Pike. Melee Attack Roll: +6, reach 10 ft. Hit: 9 (1d10 + 4) Piercing damage.
Longbow. Ranged Attack Roll: +4, range 150/600 ft. Hit: 6 (1d8 + 2) Piercing damage.","Trampling Charge (Recharge 5–6). The centaur moves up to its Speed without provoking Opportunity Attacks and can move through the spaces of Medium or smaller creatures. Each creature whose space the centaur enters is targeted once by the following effect. Strength Saving Throw: DC 14. Failure: 7 (1d6 + 4) Bludgeoning damage, and the target has the Prone condition.","","","","","","Forest, Grassland, Planar (Feywild)","Individual, Armaments"
"Chain Devil","MM'25","68","Medium","Fiend (Devil)","lawful evil","15","85 (10d8 + 40)","30 ft.","18","15","18","11","12","14","Con +7, Wis +4","","","bludgeoning, cold, piercing, slashing","fire, poison","poisoned","Darkvision 120 ft. (unimpeded by magical Darkness), passive Perception 11","Infernal; telepathy 120 ft.","8 (XP 3,900; PB +3)","Diabolical Restoration. If the devil dies outside the Nine Hells, its body disappears in sulfurous smoke, and it gains a new body instantly, reviving with all its Hit Points somewhere in the Nine Hells.
Magic Resistance. The devil has Advantage on saving throws against spells and other magical effects.","Multiattack. The devil makes two Chain attacks and uses Conjure Infernal Chain.
Chain. Melee Attack Roll: +7, reach 10 ft. Hit: 11 (2d6 + 4) Slashing damage. If the target is a Large or smaller creature, it has the Grappled condition (escape DC 14) from one of two chains, and it has the Restrained condition until the grapple ends.
Conjure Infernal Chain. The devil conjures a fiery chain to bind a creature. Dexterity Saving Throw: DC 15, one creature the devil can see within 60 feet. Failure: 9 (2d4 + 4) Fire damage, and the target has the Restrained condition until the end of the devil's next turn, at which point the chain disappears. If the target is Large or smaller, the devil moves the target up to 30 feet straight toward itself. Success: The chain disappears.","","Unnerving Gaze. Trigger: A creature the devil can see starts its turn within 30 feet of the devil and can see the devil. Response—Wisdom Saving Throw: DC 15, the triggering creature. Failure: The target has the Frightened condition until the end of its turn. Success: The target is immune to this devil's Unnerving Gaze for 24 hours.","","","","","Planar (Nine Hells)","Implements"
"Chimera","MM'25","70","Large","Monstrosity","chaotic evil","14","114 (12d10 + 48)","30 ft., Fly 60 ft.","19","11","19","3","14","10","","Perception +8","","","","","Darkvision 60 ft., passive Perception 18","Understands Draconic but can't speak","6 (XP 2,300; PB +3)","","Multiattack. The chimera makes one Ram attack, one Bite attack, and one Claw attack. It can replace the Claw attack with a use of Fire Breath if available.
Bite. Melee Attack Roll: +7, reach 5 ft. Hit: 11 (2d6 + 4) Piercing damage, or 18 (4d6 + 4) Piercing damage if the chimera had Advantage on the attack roll.
Claw. Melee Attack Roll: +7, reach 5 ft. Hit: 7 (1d6 + 4) Slashing damage.
Ram. Melee Attack Roll: +7, reach 5 ft. Hit: 10 (1d12 + 4) Bludgeoning damage. If the target is a Medium or smaller creature, it has the Prone condition.
Fire Breath (Recharge 5–6). Dexterity Saving Throw: DC 15, each creature in a 15-foot Cone. Failure: 31 (7d8) Fire damage. Success: Half damage.","","","","","","","Grassland, Hill, Mountain","Any"
"Chuul","MM'25","71","Large","Aberration","chaotic evil","16","76 (9d10 + 27)","30 ft., Swim 30 ft.","19","10","16","5","11","5","","Perception +4","","","poison","poisoned","Darkvision 60 ft., passive Perception 14","Understands Deep Speech but can't speak","4 (XP 1,100; PB +2)","Amphibious. The chuul can breathe air and water.
Sense Magic. The chuul senses magic within 120 feet of itself. This trait otherwise works like the Detect Magic spell but isn't itself magical.","Multiattack. The chuul makes two Pincer attacks and uses Paralyzing Tentacles.
Pincer. Melee Attack Roll: +6, reach 10 ft. Hit: 9 (1d10 + 4) Bludgeoning damage. If the target is a Large or smaller creature, it has the Grappled condition (escape DC 14) from one of two pincers.
Paralyzing Tentacles. Constitution Saving Throw: DC 13, one creature Grappled by the chuul. Failure: The target has the Poisoned condition and repeats the save at the end of each of its turns, ending the effect on itself on a success. After 1 minute, it succeeds automatically. While Poisoned, the target has the Paralyzed condition.","","","","","","","Coastal, Swamp, Underdark","Relics"
"Clay Golem","MM'25","72","Large","Construct","unaligned","14","123 (13d10 + 52)","20 ft.","20","9","18","3","8","1","","","","bludgeoning, piercing, slashing","acid, poison, psychic","charmed, exhaustion, frightened, paralyzed, petrified, poisoned","Darkvision 60 ft., passive Perception 9","Common plus one other language","9 (XP 5,000; PB +4)","Acid Absorption. Whenever the golem is subjected to Acid damage, it takes no damage and instead regains a number of Hit Points equal to the Acid damage dealt.
Berserk. Whenever the golem starts its turn Bloodied, roll 1d6. On a 6, the golem goes berserk. On each of its turns while berserk, the golem attacks the nearest creature it can see. If no creature is near enough to move to and attack, the golem attacks an object. Once the golem goes berserk, it continues to be berserk until it is destroyed or it is no longer Bloodied.
Immutable Form. The golem can't shape-shift.
Magic Resistance. The golem has Advantage on saving throws against spells and other magical effects.","Multiattack. The golem makes two Slam attacks, or it makes three Slam attacks if it used Hasten this turn.
Slam. Melee Attack Roll: +9, reach 5 ft. Hit: 10 (1d10 + 5) Bludgeoning damage plus 6 (1d12) Acid damage, and the target's Hit Point maximum decreases by an amount equal to the Acid damage taken.","Hasten (Recharge 5–6). The golem takes the Dash and Disengage actions.","","","","","","Urban","Relics"
"Cloaker","MM'25","73","Large","Aberration","chaotic neutral","14","91 (14d10 + 14)","10 ft., Fly 40 ft.","17","15","12","13","14","7","","Stealth +5","","","","frightened","Darkvision 120 ft., passive Perception 12","Deep Speech, Undercommon","8 (XP 3,900; PB +3)","Light Sensitivity. While in Bright Light, the cloaker has Disadvantage on attack rolls.","Multiattack. The cloaker makes one Attach attack and two Tail attacks.
Attach. Melee Attack Roll: +6, reach 5 ft. Hit: 13 (3d6 + 3) Piercing damage. If the target is a Large or smaller creature, the cloaker attaches to it. While the cloaker is attached, the target has the Blinded condition, and the cloaker can't make Attach attacks against other targets. In addition, the cloaker halves the damage it takes (round down), and the target takes the same amount of damage.The cloaker can detach itself by spending 5 feet of movement. The target or a creature within 5 feet of it can take an action to try to detach the cloaker, doing so by succeeding on a DC 14 Strength (Athletics) check.
Tail. Melee Attack Roll: +6, reach 10 ft. Hit: 8 (1d10 + 3) Slashing damage.","Moan. Wisdom Saving Throw: DC 13, each creature in a 60-foot Emanation originating from the cloaker. Failure: The target has the Frightened condition until the end of the cloaker's next turn. Success: The target is immune to this cloaker's Moan for the next 24 hours.
Phantasms (Recharge after a Short or Long Rest). The cloaker casts the Mirror Image spell, requiring no spell components and using Wisdom as the spellcasting ability. The spell ends early if the cloaker starts or ends its turn in Bright Light.","","","","","","Underdark","Implements"
"Cloud Giant","MM'25","74","Huge","Giant","neutral","14","200 (16d12 + 96)","40 ft., Fly 20 ft. (hover)","27","10","22","12","16","16","Con +10, Wis +7","Insight +7, Perception +11","","","","","passive Perception 21","Common, Giant","9 (XP 5,000; PB +4)","","Multiattack. The giant makes two attacks, using Thunderous Mace or Thundercloud in any combination. It can replace one attack with a use of Spellcasting to cast Fog Cloud.
Thunderous Mace. Melee Attack Roll: +12, reach 10 ft. Hit: 21 (3d8 + 8) Bludgeoning damage plus 7 (2d6) Thunder damage.
Spellcasting. The giant casts one of the following spells, requiring no Material components and using Charisma as the spellcasting ability (spell save DC 15):At will: Detect Magic, Fog Cloud, Light1/day each: Control Weather, Gaseous Form, Telekinesis
Thundercloud. Ranged Attack Roll: +12, range 240 ft. Hit: 18 (3d6 + 8) Thunder damage, and the target has the Incapacitated condition until the end of its next turn.","Misty Step. The giant casts the Misty Step spell, using the same spellcasting ability as Spellcasting.","","","","","","Mountain","Arcana"
"Cockatrice","MM'25","75","Small","Monstrosity","unaligned","11","22 (5d6 + 5)","20 ft., Fly 40 ft.","6","12","12","2","13","5","","","","","","petrified","Darkvision 60 ft., passive Perception 11","—","1/2 (XP 100; PB +2)","","Petrifying Bite. Melee Attack Roll: +3, reach 5 ft. Hit: 3 (1d4 + 1) Piercing damage. If the target is a creature, it is subjected to the following effect. Constitution Saving Throw: DC 11. First Failure: The target has the Restrained condition. The target repeats the save at the end of its next turn if it is still Restrained, ending the effect on itself on a success. Second Failure: The target has the Petrified condition, instead of the Restrained condition, for 24 hours.","","","","","","","Grassland",""
"Commoner","MM'25","77","Small or Medium","Humanoid","neutral","10","4 (1d8)","30 ft.","10","10","10","10","10","10","","","","","","","passive Perception 10","Common","0 (XP 10; PB +2)","Training. The commoner has proficiency in one skill of the DM's choice and has Advantage whenever it makes an ability check using that skill.","Club. Melee Attack Roll: +2, reach 5 ft. Hit: 2 (1d4) Bludgeoning damage.","","","","","","","Any","Individual"
"Constrictor Snake","MM'25","351","Large","Beast","unaligned","13","13 (2d10 + 2)","30 ft., Swim 30 ft.","15","14","12","1","10","3","","Perception +2, Stealth +4","","","","","Blindsight 10 ft., passive Perception 12","—","1/4 (XP 50; PB +2)","","Bite. Melee Attack Roll: +4, reach 5 ft. Hit: 6 (1d8 + 2) Piercing damage.
Constrict. Strength Saving Throw: DC 12, one Medium or smaller creature the snake can see within 5 feet. Failure: 7 (3d4) Bludgeoning damage, and the target has the Grappled condition (escape DC 12).","","","","","","","Desert, Forest, Swamp, Underwater",""
"Copper Dragon Wyrmling","MM'25","78","Medium","Dragon (Metallic)","chaotic good","16","22 (4d8 + 4)","30 ft., Climb 30 ft., Fly 60 ft.","15","12","13","14","11","13","Dex +3, Wis +2","Perception +4, Stealth +3","","","acid","","Blindsight 10 ft., Darkvision 60 ft., passive Perception 14","Draconic","1 (XP 200; PB +2)","","Rend. Melee Attack Roll: +4, reach 5 ft. Hit: 7 (1d10 + 2) Slashing damage.
Acid Breath (Recharge 5–6). Dexterity Saving Throw: DC 11, each creature in a 20-foot-long, 5-foot-wide Line. Failure: 18 (4d8) Acid damage. Success: Half damage.
Slowing Breath. Constitution Saving Throw: DC 11, each creature in a 15-foot Cone. Failure: The target can't take Reactions; its Speed is halved; and it can take either an action or a Bonus Action on its turn, not both. This effect lasts until the end of its next turn.","","","","","","","Hill","Arcana"
"Couatl","MM'25","82","Medium","Celestial","lawful good","19","60 (8d8 + 24)","30 ft., Fly 90 ft.","16","20","17","18","20","18","Con +5, Wis +7","","","bludgeoning, piercing, slashing","psychic, radiant","","Truesight 120 ft., passive Perception 15","All; telepathy 120 ft.","4 (XP 1,100; PB +2)","Shielded Mind. The couatl's thoughts can't be read by any means, and other creatures can communicate with it telepathically only if it allows them.","Bite. Melee Attack Roll: +7, reach 5 ft. Hit: 11 (1d12 + 5) Piercing damage, and the target has the Poisoned condition until the end of the couatl's next turn.
Constrict. Strength Saving Throw: DC 15, one Medium or smaller creature the couatl can see within 5 feet. Failure: 8 (1d6 + 5) Bludgeoning damage. The target has the Grappled condition (escape DC 13), and it has the Restrained condition until the grapple ends.
Spellcasting. The couatl casts one of the following spells, requiring no spell components and using Wisdom as the spellcasting ability (spell save DC 15):At will: Detect Evil and Good, Detect Magic, Detect Thoughts, Shapechange (Beast or Humanoid form only, no Temporary Hit Points gained from the spell, and no Concentration or Temporary Hit Points required to maintain the spell)1/day each: Create Food and Water, Dream, Greater Restoration, Scrying, Sleep","Divine Aid (2/Day). The couatl casts Bless, Lesser Restoration, or Sanctuary, requiring no spell components and using the same spellcasting ability as Spellcasting.","","","","","","Desert, Forest, Grassland, Urban","Relics"
"Crab","MM'25","351","Tiny","Beast","unaligned","11","3 (1d4 + 1)","20 ft., Swim 20 ft.","6","11","12","1","8","2","","Stealth +2","","","","","Blindsight 30 ft., passive Perception 9","—","0 (XP 10; PB +2)","Amphibious. The crab can breathe air and water.","Claw. Melee Attack Roll: +2, reach 5 ft. Hit: 1 Bludgeoning damage.","","","","","","","Coastal, Underwater",""
"Crocodile","MM'25","352","Large","Beast","unaligned","12","13 (2d10 + 2)","20 ft., Swim 30 ft.","15","10","13","2","10","5","Con +3","Stealth +2","","","","","passive Perception 10","—","1/2 (XP 100; PB +2)","Hold Breath. The crocodile can hold its breath for 1 hour.","Bite. Melee Attack Roll: +4, reach 5 ft. Hit: 6 (1d8 + 2) Piercing damage. If the target is a Medium or smaller creature, it has the Grappled condition (escape DC 12). While Grappled, the target has the Restrained condition.","","","","","","","Coastal, Swamp, Urban",""
"Cultist","MM'25","84","Small or Medium","Humanoid","neutral","12","9 (2d8)","30 ft.","11","12","10","10","11","10","Wis +2","Deception +2, Religion +2","","","","","passive Perception 10","Common","1/8 (XP 25; PB +2)","","Ritual Sickle. Melee Attack Roll: +3, reach 5 ft. Hit: 3 (1d4 + 1) Slashing damage plus 1 Necrotic damage.","","","","","","","Any","Individual, Relics"
"Cultist Fanatic","MM'25","85","Small or Medium","Humanoid","neutral","13","44 (8d8 + 8)","30 ft.","11","14","12","10","14","13","Wis +4","Deception +3, Persuasion +3, Religion +2","","","","","passive Perception 12","Common","2 (XP 450; PB +2)","","Pact Blade. Melee Attack Roll: +4, reach 5 ft. Hit: 6 (1d8 + 2) Slashing damage plus 7 (2d6) Necrotic damage.
Spellcasting. The cultist casts one of the following spells, using Wisdom as the spellcasting ability (spell save DC 12, +4 to hit with spell attacks):At will: Light, Thaumaturgy2/day: Command1/day: Hold Person","Spiritual Weapon (2/Day). The cultist casts the Spiritual Weapon spell, using the same spellcasting ability as Spellcasting.","","","","","","Any","Individual, Relics"
"Darkmantle","MM'25","90","Small","Aberration","unaligned","11","22 (5d6 + 5)","10 ft., Fly 30 ft.","16","12","13","2","10","5","","Stealth +3","","","","","Blindsight 60 ft., passive Perception 10","—","1/2 (XP 100; PB +2)","","Crush. Melee Attack Roll: +5, reach 5 ft. Hit: 6 (1d6 + 3) Bludgeoning damage, and the darkmantle attaches to the target. If the target is a Medium or smaller creature and the darkmantle had Advantage on the attack roll, it covers the target, which has the Blinded condition and is suffocating while the darkmantle is attached in this way.While attached to a target, the darkmantle can attack only the target but has Advantage on its attack rolls. Its Speed becomes 0, it can't benefit from any bonus to its Speed, and it moves with the target.A creature can take an action to try to detach the darkmantle from itself, doing so with a successful DC 13 Strength (Athletics) check. On its turn, the darkmantle can detach itself by using 5 feet of movement.
Darkness Aura (1/Day). Magical Darkness fills a 15-foot Emanation originating from the darkmantle. This effect lasts while the darkmantle maintains Concentration on it, up to 10 minutes. Darkvision can't penetrate this area, and no light can illuminate it.","","","","","","","Underdark",""
"Death Dog","MM'25","91","Medium","Monstrosity","neutral evil","12","39 (6d8 + 12)","40 ft.","15","14","14","3","13","6","","Perception +5, Stealth +4","","","","blinded, charmed, deafened, frightened, stunned, unconscious","Darkvision 120 ft., passive Perception 15","—","1 (XP 200; PB +2)","","Multiattack. The death dog makes two Bite attacks.
Bite. Melee Attack Roll: +4, reach 5 ft. Hit: 4 (1d4 + 2) Piercing damage. If the target is a creature, it is subjected to the following effect. Constitution Saving Throw: DC 12. First Failure: The target has the Poisoned condition. While Poisoned, the target's Hit Point maximum doesn't return to normal when finishing a Long Rest, and it repeats the save every 24 hours that elapse, ending the effect on itself on a success. Subsequent Failures: The Poisoned target's Hit Point maximum decreases by 5 (1d10).","","","","","","","Desert",""
"Deer","MM'25","352","Medium","Beast","unaligned","13","4 (1d8)","50 ft.","11","16","11","2","14","5","","Perception +4","","","","","Darkvision 60 ft., passive Perception 14","—","0 (XP 10; PB +2)","Agile. The deer doesn't provoke an Opportunity Attack when it moves out of an enemy's reach.","Ram. Melee Attack Roll: +2, reach 5 ft. Hit: 2 (1d4) Bludgeoning damage.","","","","","","","Forest, Grassland",""
"Deva","MM'25","97","Medium","Celestial (Angel)","lawful good","17","229 (27d8 + 108)","30 ft., Fly 90 ft. (hover)","18","18","18","17","20","20","Wis +9, Cha +9","Insight +9, Perception +9","","radiant","","charmed, exhaustion, frightened","Darkvision 120 ft., passive Perception 19","All; telepathy 120 ft.","10 (XP 5,900; PB +4)","Exalted Restoration. If the deva dies outside Mount Celestia, its body disappears, and it gains a new body instantly, reviving with all its Hit Points somewhere in Mount Celestia.
Magic Resistance. The deva has Advantage on saving throws against spells and other magical effects.","Multiattack. The deva makes two Holy Mace attacks.
Holy Mace. Melee Attack Roll: +8, reach 5 ft. Hit: 7 (1d6 + 4) Bludgeoning damage plus 18 (4d8) Radiant damage.
Spellcasting. The deva casts one of the following spells, requiring no Material components and using Charisma as the spellcasting ability (spell save DC 17):At will: Detect Evil and Good, Shapechange (Beast or Humanoid form only, no Temporary Hit Points gained from the spell, and no Concentration or Temporary Hit Points required to maintain the spell)1/day each: Commune, Raise Dead","Divine Aid (2/Day). The deva casts Cure Wounds, Lesser Restoration, or Remove Curse, using the same spellcasting ability as Spellcasting.","","","","","","Planar (Upper Planes)","Relics"
"Dire Wolf","MM'25","352","Large","Beast","unaligned","14","22 (3d10 + 6)","50 ft.","17","15","15","3","12","7","","Perception +5, Stealth +4","","","","","Darkvision 60 ft., passive Perception 15","—","1 (XP 200; PB +2)","Pack Tactics. The wolf has Advantage on an attack roll against a creature if at least one of the wolf's allies is within 5 feet of the creature and the ally doesn't have the Incapacitated condition.","Bite. Melee Attack Roll: +5, reach 5 ft. Hit: 8 (1d10 + 3) Piercing damage. If the target is a Large or smaller creature, it has the Prone condition.","","","","","","","Forest, Hill",""
"Djinni","MM'25","99","Large","Elemental (Genie)","chaotic good","17","218 (19d10 + 114)","30 ft., Fly 90 ft. (hover)","21","15","22","15","16","20","Dex +6, Wis +7","","","","lightning, thunder","","Darkvision 120 ft., passive Perception 13","Primordial (Auran)","11 (XP 7,200; PB +4)","Elemental Restoration. If the djinni dies outside the Elemental Plane of Air, its body dissolves into mist, and it gains a new body in 1d4 days, reviving with all its Hit Points somewhere on the Plane of Air.
Magic Resistance. The djinni has Advantage on saving throws against spells and other magical effects.
Wishes. The djinni has a 30 percent chance of knowing the Wish spell. If the djinni knows it, the djinni can cast it only on behalf of a non-genie creature who communicates a wish in a way the djinni can understand. If the djinni casts the spell for the creature, the djinni suffers none of the spell's stress. Once the djinni has cast it three times, the djinni can't do so again for 365 days.","Multiattack. The djinni makes three attacks, using Storm Blade or Storm Bolt in any combination.
Storm Blade. Melee Attack Roll: +9, reach 5 feet. Hit: 12 (2d6 + 5) Slashing damage plus 7 (2d6) Lightning damage.
Spellcasting. The djinni casts one of the following spells, requiring no Material components and using Charisma as the spellcasting ability (spell save DC 17):At will: Detect Evil and Good, Detect Magic2/day each: Create Food and Water (can create wine instead of water), Tongues, Wind Walk1/day each: Creation, Gaseous Form, Invisibility, Major Image, Plane Shift
Storm Bolt. Ranged Attack Roll: +9, range 120 feet. Hit: 13 (3d8) Thunder damage. If the target is a Large or smaller creature, it has the Prone condition.
Create Whirlwind. The djinni conjures a whirlwind at a point it can see within 120 feet. The whirlwind fills a 20-foot-radius, 60-foot-high Cylinder centered on that point. The whirlwind lasts until the djinni's Concentration on it ends. The djinni can move the whirlwind up to 20 feet at the start of each of its turns.Whenever the whirlwind enters a creature's space or a creature enters the whirlwind, that creature is subjected to the following effect. Strength Saving Throw: DC 17 (a creature makes this save only once per turn, and the djinni is unaffected). Failure: While in the whirlwind, the target has the Restrained condition and moves with the whirlwind. At the start of each of its turns, the Restrained target takes 21 (6d6) Thunder damage. At the end of each of its turns, the target repeats the save, ending the effect on itself on a success.","","","","","","","Coastal, Planar (Elemental Plane of Air)","Arcana"
"Doppelganger","MM'25","100","Medium","Monstrosity","neutral","14","52 (8d8 + 16)","30 ft.","11","18","14","11","12","14","","Deception +6, Insight +3","","","","charmed","Darkvision 60 ft., passive Perception 11","Common plus three other languages","3 (XP 700; PB +2)","","Multiattack. The doppelganger makes two Slam attacks and uses Unsettling Visage if available.
Read Thoughts. The doppelganger casts Detect Thoughts, requiring no spell components and using Charisma as the spellcasting ability (spell save DC 12).
Slam. Melee Attack Roll: +6 (with Advantage during the first round of each combat), reach 5 ft. Hit: 11 (2d6 + 4) Bludgeoning damage.
Unsettling Visage (Recharge 6). Wisdom Saving Throw: DC 12, each creature in a 15-foot Emanation originating from the doppelganger that can see the doppelganger. Failure: The target has the Frightened condition and repeats the save at the end of each of its turns, ending the effect on itself on a success. After 1 minute, it succeeds automatically.","Shape-Shift. The doppelganger shape-shifts into a Medium or Small Humanoid, or it returns to its true form. Its game statistics, other than its size, are the same in each form. Any equipment it is wearing or carrying isn't transformed.","","","","","","Underdark, Urban","Individual"
"Draft Horse","MM'25","352","Large","Beast","unaligned","10","15 (2d10 + 4)","40 ft.","18","10","15","2","11","7","","","","","","","passive Perception 10","—","1/4 (XP 50; PB +2)","","Hooves. Melee Attack Roll: +6, reach 5 ft. Hit: 6 (1d4 + 4) Bludgeoning damage.","","","","","","","Urban",""
"Dragon Turtle","MM'25","103","Gargantuan","Dragon","neutral","20","356 (23d20 + 115)","20 ft., Swim 50 ft.","25","10","20","10","12","12","Con +11, Wis +7","","","fire","","","Darkvision 120 ft., passive Perception 11","Draconic, Primordial (Aquan)","17 (XP 18,000; PB +6)","Amphibious. The dragon can breathe air and water.","Multiattack. The dragon makes three Bite attacks. It can replace one attack with a Tail attack.
Bite. Melee Attack Roll: +13, reach 15 ft. Hit: 23 (3d10 + 7) Piercing damage plus 7 (2d6) Fire damage. Being underwater doesn't grant Resistance to this Fire damage.
Tail. Melee Attack Roll: +13, reach 15 ft. Hit: 18 (2d10 + 7) Bludgeoning damage. If the target is a Huge or smaller creature, it has the Prone condition.
Steam Breath (Recharge 5–6). Constitution Saving Throw: DC 19, each creature in a 60-foot Cone. Failure: 56 (16d6) Fire damage. Success: Half damage. Failure or Success: Being underwater doesn't grant Resistance to this Fire damage.","","","","","","","Coastal, Underwater","Any"
"Dretch","MM'25","103","Small","Fiend (Demon)","chaotic evil","11","18 (4d6 + 4)","20 ft.","12","11","12","5","8","3","","","","cold, fire, lightning","poison","poisoned","Darkvision 60 ft., passive Perception 9","Abyssal; telepathy 60 ft. (works only with creatures that understand Abyssal)","1/4 (XP 50; PB +2)","","Rend. Melee Attack Roll: +3, reach 5 ft. Hit: 4 (1d6 + 1) Slashing damage.
Fetid Cloud (1/Day). Constitution Saving Throw: DC 11, each creature in a 10-foot Emanation originating from the dretch. Failure: The target has the Poisoned condition until the end of its next turn. While Poisoned, the creature can take either an action or a Bonus Action on its turn, not both, and it can't take Reactions.","","","","","","","Planar (Abyss)",""
"Drider","MM'25","105","Large","Monstrosity","chaotic evil","19","123 (13d10 + 52)","30 ft., Climb 30 ft.","16","19","18","13","16","12","","Perception +6, Stealth +10","","","","","Darkvision 120 ft., passive Perception 16","Elvish, Undercommon","6 (XP 2,300; PB +3)","Spider Climb. The drider can climb difficult surfaces, including along ceilings, without needing to make an ability check.
Sunlight Sensitivity. While in sunlight, the drider has Disadvantage on ability checks and attack rolls.
Web Walker. The drider ignores movement restrictions caused by webs, and the drider knows the location of any other creature in contact with the same web.","Multiattack. The drider makes three attacks, using Foreleg or Poison Burst in any combination.
Foreleg. Melee Attack Roll: +7, reach 10 ft. Hit: 13 (2d8 + 4) Piercing damage.
Poison Burst. Ranged Attack Roll: +6, range 120 ft. Hit: 13 (3d6 + 3) Poison damage.","Magic of the Spider Queen (Recharge 5–6). The drider casts Darkness, Faerie Fire, or Web, requiring no Material components and using Wisdom as the spellcasting ability (spell save DC 14).","","","","","","Forest, Underdark","Armaments"
"Druid","MM'25","106","Small or Medium","Humanoid","neutral","13","44 (8d8 + 8)","30 ft.","10","12","13","12","16","11","","Medicine +5, Nature +3, Perception +5","","","","","passive Perception 15","Common, Druidic, Sylvan","2 (XP 450; PB +2)","","Multiattack. The druid makes two attacks, using Vine Staff or Verdant Wisp in any combination.
Vine Staff. Melee Attack Roll: +5, reach 5 ft. Hit: 7 (1d8 + 3) Bludgeoning damage plus 2 (1d4) Poison damage.
Spellcasting. The druid casts one of the following spells, using Wisdom as the spellcasting ability (spell save DC 13):At will: Druidcraft, Speak with Animals2/day each: Entangle, Thunderwave1/day each: Animal Messenger, Longstrider, Moonbeam
Verdant Wisp. Ranged Attack Roll: +5, range 90 ft. Hit: 10 (3d6) Radiant damage.","","","","","","","Any","Individual, Relics"
